n0013
Wed Sep 23 08:19:09 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 110 seed= 5 env= SafetyCarCircle2-v0 k_epochs 5
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
env_id=SafetyCarCircle2-v0
state_dim=40
action_dim=2
max_action=1.0
max_episode_steps=500
Using device: cpu
SafetyCircleMargin: Using safety_clearance=0.3000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:0.11544023192949308 	 evaluate_cost:21.634301653730716 	 evaluate_max_cost:0.9980825409818422
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8934827446937561 0.2 0.6934827566146851
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9281830787658691 0.2 0.7281830906867981
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.924778401851654 0.2 0.724778413772583
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9317513108253479 0.2 0.7317513227462769
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9273485541343689 0.2 0.7273485660552979
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9273679852485657 0.2 0.7273679971694946
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9271750450134277 0.2 0.7271750569343567
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9141759276390076 0.2 0.7141759395599365
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8868653178215027 0.2 0.6868653297424316
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8816190958023071 0.2 0.6816191077232361
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8804159760475159 0.2 0.6804159879684448
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8980627059936523 0.2 0.6980627179145813
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8969041109085083 0.2 0.6969041228294373
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8940011262893677 0.2 0.6940011382102966
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8977038860321045 0.2 0.6977038979530334
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9076746106147766 0.2 0.7076746225357056
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9160091280937195 0.2 0.7160091400146484
