n0071
Sat Sep 19 04:26:14 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 6 env= HumanoidWithCost k_epochs 5
env=HumanoidWithCost
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.8236106825 	 evaluate_cost:0.03503666581309517 	 evaluate_max_cost:0.0001025578094413504
New best model found! Saving model with reward: 4985.8236106825 and max cost: 0.0001025578094413504
FAC | warm_start_active=False, vs_mean=479.4936, vl_pi= 2.7737021 beta_penalty= 532110.6 lambda_mean= [0.7105704] VC_mean= [2.4545944] d= [1.]
FAC | warm_start_active=False, vs_mean=477.7165, vl_pi= 2.7118104 beta_penalty= 513543.1 lambda_mean= [0.7105704] VC_mean= [2.447062] d= [1.]
FAC | warm_start_active=False, vs_mean=477.1727, vl_pi= 2.7625375 beta_penalty= 528761.25 lambda_mean= [0.71067667] VC_mean= [2.4345748] d= [1.]
FAC | warm_start_active=False, vs_mean=477.1785, vl_pi= 2.7061105 beta_penalty= 511833.16 lambda_mean= [0.71067667] VC_mean= [2.4242475] d= [1.]
FAC | warm_start_active=False, vs_mean=479.2416, vl_pi= 2.7196474 beta_penalty= 515894.22 lambda_mean= [0.71067667] VC_mean= [2.43198] d= [1.]
FAC | warm_start_active=False, vs_mean=478.2195, vl_pi= 2.7433314 beta_penalty= 522999.44 lambda_mean= [0.71067667] VC_mean= [2.4534948] d= [1.]
FAC | warm_start_active=False, vs_mean=475.9552, vl_pi= 2.7502105 beta_penalty= 525063.2 lambda_mean= [0.71067667] VC_mean= [2.4659247] d= [1.]
FAC | warm_start_active=False, vs_mean=476.0551, vl_pi= 2.8751755 beta_penalty= 562552.6 lambda_mean= [0.71047693] VC_mean= [2.5154765] d= [1.]
FAC | warm_start_active=False, vs_mean=475.8091, vl_pi= 2.7779033 beta_penalty= 533371.0 lambda_mean= [0.71047693] VC_mean= [2.5003119] d= [1.]
FAC | warm_start_active=False, vs_mean=476.4526, vl_pi= 2.759958 beta_penalty= 527987.44 lambda_mean= [0.71047693] VC_mean= [2.4965136] d= [1.]
FAC | warm_start_active=False, vs_mean=476.2691, vl_pi= 2.7289286 beta_penalty= 518678.56 lambda_mean= [0.71047693] VC_mean= [2.4626389] d= [1.]
FAC | warm_start_active=False, vs_mean=477.0733, vl_pi= 2.7143738 beta_penalty= 514312.16 lambda_mean= [0.71047693] VC_mean= [2.4572258] d= [1.]
FAC | warm_start_active=False, vs_mean=477.6887, vl_pi= 2.9461753 beta_penalty= 583852.6 lambda_mean= [0.7107847] VC_mean= [2.434271] d= [1.]
FAC | warm_start_active=False, vs_mean=478.6408, vl_pi= 2.7517176 beta_penalty= 525515.25 lambda_mean= [0.7107847] VC_mean= [2.43846] d= [1.]
FAC | warm_start_active=False, vs_mean=475.9066, vl_pi= 2.7469742 beta_penalty= 524092.28 lambda_mean= [0.7107847] VC_mean= [2.4768863] d= [1.]
FAC | warm_start_active=False, vs_mean=476.5381, vl_pi= 2.7247295 beta_penalty= 517418.88 lambda_mean= [0.7107847] VC_mean= [2.4705255] d= [1.]
FAC | warm_start_active=False, vs_mean=476.0031, vl_pi= 2.741728 beta_penalty= 522518.4 lambda_mean= [0.7107847] VC_mean= [2.494412] d= [1.]
FAC | warm_start_active=False, vs_mean=473.1462, vl_pi= 2.8942554 beta_penalty= 568276.6 lambda_mean= [0.7103951] VC_mean= [2.5051877] d= [1.]
FAC | warm_start_active=False, vs_mean=472.1364, vl_pi= 2.8165534 beta_penalty= 544966.0 lambda_mean= [0.7103951] VC_mean= [2.544028] d= [1.]
FAC | warm_start_active=False, vs_mean=472.6288, vl_pi= 2.8102193 beta_penalty= 543065.8 lambda_mean= [0.7103951] VC_mean= [2.5288615] d= [1.]
FAC | warm_start_active=False, vs_mean=472.9876, vl_pi= 2.8043911 beta_penalty= 541317.3 lambda_mean= [0.7103951] VC_mean= [2.5291028] d= [1.]
FAC | warm_start_active=False, vs_mean=473.7207, vl_pi= 2.76689 beta_penalty= 530067.0 lambda_mean= [0.7103951] VC_mean= [2.5495439] d= [1.]
FAC | warm_start_active=False, vs_mean=477.2711, vl_pi= 2.8167353 beta_penalty= 545020.56 lambda_mean= [0.71025395] VC_mean= [2.4979465] d= [1.]
FAC | warm_start_active=False, vs_mean=476.7971, vl_pi= 2.8114293 beta_penalty= 543428.75 lambda_mean= [0.71025395] VC_mean= [2.5151813] d= [1.]
FAC | warm_start_active=False, vs_mean=477.5474, vl_pi= 2.7505994 beta_penalty= 525179.8 lambda_mean= [0.71025395] VC_mean= [2.4954326] d= [1.]
FAC | warm_start_active=False, vs_mean=478.7459, vl_pi= 2.753238 beta_penalty= 525971.4 lambda_mean= [0.71025395] VC_mean= [2.4986115] d= [1.]
FAC | warm_start_active=False, vs_mean=479.5799, vl_pi= 2.7411082 beta_penalty= 522332.47 lambda_mean= [0.71025395] VC_mean= [2.5206294] d= [1.]
FAC | warm_start_active=False, vs_mean=482.3778, vl_pi= 2.753636 beta_penalty= 526090.75 lambda_mean= [0.70976317] VC_mean= [2.4736085] d= [1.]
FAC | warm_start_active=False, vs_mean=483.6274, vl_pi= 2.7944965 beta_penalty= 538348.94 lambda_mean= [0.70976317] VC_mean= [2.4974048] d= [1.]
FAC | warm_start_active=False, vs_mean=481.9396, vl_pi= 2.6801953 beta_penalty= 504058.6 lambda_mean= [0.70976317] VC_mean= [2.4776525] d= [1.]
FAC | warm_start_active=False, vs_mean=483.5866, vl_pi= 2.652409 beta_penalty= 495722.72 lambda_mean= [0.70976317] VC_mean= [2.4650812] d= [1.]
FAC | warm_start_active=False, vs_mean=486.2296, vl_pi= 2.6595871 beta_penalty= 497876.16 lambda_mean= [0.70976317] VC_mean= [2.4650862] d= [1.]
FAC | warm_start_active=False, vs_mean=486.5541, vl_pi= 2.7018316 beta_penalty= 510549.47 lambda_mean= [0.7090353] VC_mean= [2.461812] d= [1.]
FAC | warm_start_active=False, vs_mean=485.3982, vl_pi= 2.7030494 beta_penalty= 510914.8 lambda_mean= [0.7090353] VC_mean= [2.4692452] d= [1.]
FAC | warm_start_active=False, vs_mean=484.1194, vl_pi= 2.6647737 beta_penalty= 499432.12 lambda_mean= [0.7090353] VC_mean= [2.4740465] d= [1.]
FAC | warm_start_active=False, vs_mean=480.8483, vl_pi= 2.6537068 beta_penalty= 496112.03 lambda_mean= [0.7090353] VC_mean= [2.4817262] d= [1.]
FAC | warm_start_active=False, vs_mean=479.2574, vl_pi= 2.6841354 beta_penalty= 505240.62 lambda_mean= [0.7090353] VC_mean= [2.4993565] d= [1.]
FAC | warm_start_active=False, vs_mean=475.3932, vl_pi= 2.769042 beta_penalty= 530712.6 lambda_mean= [0.7088193] VC_mean= [2.5168023] d= [1.]
FAC | warm_start_active=False, vs_mean=473.5427, vl_pi= 2.696709 beta_penalty= 509012.7 lambda_mean= [0.7088193] VC_mean= [2.5051422] d= [1.]
FAC | warm_start_active=False, vs_mean=471.0082, vl_pi= 2.7401872 beta_penalty= 522056.16 lambda_mean= [0.7088193] VC_mean= [2.5055814] d= [1.]
FAC | warm_start_active=False, vs_mean=472.7836, vl_pi= 2.7044551 beta_penalty= 511336.53 lambda_mean= [0.7088193] VC_mean= [2.4999814] d= [1.]
FAC | warm_start_active=False, vs_mean=474.7867, vl_pi= 2.6852674 beta_penalty= 505580.25 lambda_mean= [0.7088193] VC_mean= [2.5232813] d= [1.]
