n0006
Sat Sep 19 04:46:49 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 3 env= SwimmerWithPos k_epochs 5
env=SwimmerWithPos
state_dim=10
action_dim=2
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:16.956652678038015 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 16.956652678038015 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=204.6788, vl_pi= 0.6016313 beta_penalty= 15048.9375 lambda_mean= [0.69371796] VC_mean= [0.5344617] d= [0.1]
FAC | warm_start_active=False, vs_mean=204.4898, vl_pi= 0.6050415 beta_penalty= 15151.244 lambda_mean= [0.69371796] VC_mean= [0.53656745] d= [0.1]
FAC | warm_start_active=False, vs_mean=204.5539, vl_pi= 0.602742 beta_penalty= 15082.26 lambda_mean= [0.69371796] VC_mean= [0.5347612] d= [0.1]
FAC | warm_start_active=False, vs_mean=204.4060, vl_pi= 0.60245585 beta_penalty= 15073.675 lambda_mean= [0.69371796] VC_mean= [0.5361316] d= [0.1]
FAC | warm_start_active=False, vs_mean=204.6217, vl_pi= 0.6048121 beta_penalty= 15144.362 lambda_mean= [0.69371796] VC_mean= [0.5400535] d= [0.1]
FAC | warm_start_active=False, vs_mean=200.7381, vl_pi= 0.6121511 beta_penalty= 15364.532 lambda_mean= [0.6937282] VC_mean= [0.5402354] d= [0.1]
FAC | warm_start_active=False, vs_mean=201.2176, vl_pi= 0.61839706 beta_penalty= 15551.911 lambda_mean= [0.6937282] VC_mean= [0.5439895] d= [0.1]
FAC | warm_start_active=False, vs_mean=200.8608, vl_pi= 0.61475426 beta_penalty= 15442.627 lambda_mean= [0.6937282] VC_mean= [0.5457541] d= [0.1]
FAC | warm_start_active=False, vs_mean=200.5095, vl_pi= 0.61164016 beta_penalty= 15349.204 lambda_mean= [0.6937282] VC_mean= [0.5478171] d= [0.1]
FAC | warm_start_active=False, vs_mean=201.3391, vl_pi= 0.6124019 beta_penalty= 15372.057 lambda_mean= [0.6937282] VC_mean= [0.547508] d= [0.1]
FAC | warm_start_active=False, vs_mean=204.0431, vl_pi= 0.60555786 beta_penalty= 15166.735 lambda_mean= [0.6937338] VC_mean= [0.5504148] d= [0.1]
FAC | warm_start_active=False, vs_mean=204.1986, vl_pi= 0.60081106 beta_penalty= 15024.331 lambda_mean= [0.6937338] VC_mean= [0.54599905] d= [0.1]
FAC | warm_start_active=False, vs_mean=205.7599, vl_pi= 0.59524673 beta_penalty= 14857.402 lambda_mean= [0.6937338] VC_mean= [0.5431429] d= [0.1]
