n0006
Sat Sep 19 04:36:59 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 5 env= HopperCostEnv k_epochs 5
env=HopperCostEnv
state_dim=11
action_dim=3
max_action=1.0
max_episode_steps=500
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:537.7318863089796 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 537.7318863089796 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=202.8835, vl_pi= 0.60691947 beta_penalty= 15207.583 lambda_mean= [0.69386154] VC_mean= [0.5247647] d= [0.1]
FAC | warm_start_active=False, vs_mean=205.4408, vl_pi= 0.59868956 beta_penalty= 14960.687 lambda_mean= [0.69386154] VC_mean= [0.5242952] d= [0.1]
FAC | warm_start_active=False, vs_mean=205.6643, vl_pi= 0.5961421 beta_penalty= 14884.264 lambda_mean= [0.69386154] VC_mean= [0.52613944] d= [0.1]
FAC | warm_start_active=False, vs_mean=207.5735, vl_pi= 0.6217761 beta_penalty= 15653.282 lambda_mean= [0.69385016] VC_mean= [0.5201522] d= [0.1]
FAC | warm_start_active=False, vs_mean=207.6821, vl_pi= 0.609578 beta_penalty= 15287.34 lambda_mean= [0.69385016] VC_mean= [0.5207191] d= [0.1]
FAC | warm_start_active=False, vs_mean=206.8220, vl_pi= 0.6093109 beta_penalty= 15279.327 lambda_mean= [0.69385016] VC_mean= [0.5252248] d= [0.1]
FAC | warm_start_active=False, vs_mean=212.4395, vl_pi= 0.5884236 beta_penalty= 14652.708 lambda_mean= [0.69385016] VC_mean= [0.5209937] d= [0.1]
FAC | warm_start_active=False, vs_mean=213.9142, vl_pi= 0.59176683 beta_penalty= 14753.005 lambda_mean= [0.69385016] VC_mean= [0.52311444] d= [0.1]
FAC | warm_start_active=False, vs_mean=215.4583, vl_pi= 0.6092108 beta_penalty= 15276.323 lambda_mean= [0.6937578] VC_mean= [0.52496266] d= [0.1]
FAC | warm_start_active=False, vs_mean=214.8174, vl_pi= 0.6032733 beta_penalty= 15098.197 lambda_mean= [0.6937578] VC_mean= [0.5308074] d= [0.1]
FAC | warm_start_active=False, vs_mean=212.0521, vl_pi= 0.60246074 beta_penalty= 15073.821 lambda_mean= [0.6937578] VC_mean= [0.5308124] d= [0.1]
FAC | warm_start_active=False, vs_mean=208.2339, vl_pi= 0.597187 beta_penalty= 14915.609 lambda_mean= [0.6937578] VC_mean= [0.5305674] d= [0.1]
FAC | warm_start_active=False, vs_mean=207.3090, vl_pi= 0.59784293 beta_penalty= 14935.288 lambda_mean= [0.6937578] VC_mean= [0.5333797] d= [0.1]
FAC | warm_start_active=False, vs_mean=211.0186, vl_pi= 0.5818659 beta_penalty= 14455.978 lambda_mean= [0.6936629] VC_mean= [0.53035975] d= [0.1]
FAC | warm_start_active=False, vs_mean=215.6249, vl_pi= 0.58544177 beta_penalty= 14563.253 lambda_mean= [0.6936629] VC_mean= [0.5310289] d= [0.1]
FAC | warm_start_active=False, vs_mean=214.4773, vl_pi= 0.59793043 beta_penalty= 14937.913 lambda_mean= [0.6936629] VC_mean= [0.5297658] d= [0.1]
FAC | warm_start_active=False, vs_mean=216.0593, vl_pi= 0.5965826 beta_penalty= 14897.478 lambda_mean= [0.6936629] VC_mean= [0.52893734] d= [0.1]
FAC | warm_start_active=False, vs_mean=216.0766, vl_pi= 0.59401685 beta_penalty= 14820.506 lambda_mean= [0.6936629] VC_mean= [0.53155684] d= [0.1]
FAC | warm_start_active=False, vs_mean=224.7829, vl_pi= 0.5852869 beta_penalty= 14558.607 lambda_mean= [0.6936655] VC_mean= [0.53047615] d= [0.1]
FAC | warm_start_active=False, vs_mean=224.7138, vl_pi= 0.58516985 beta_penalty= 14555.096 lambda_mean= [0.6936655] VC_mean= [0.53128195] d= [0.1]
FAC | warm_start_active=False, vs_mean=223.5692, vl_pi= 0.5864335 beta_penalty= 14593.004 lambda_mean= [0.6936655] VC_mean= [0.5275982] d= [0.1]
FAC | warm_start_active=False, vs_mean=221.6066, vl_pi= 0.5748363 beta_penalty= 14245.09 lambda_mean= [0.6936655] VC_mean= [0.5276968] d= [0.1]
FAC | warm_start_active=False, vs_mean=219.4254, vl_pi= 0.5761597 beta_penalty= 14284.792 lambda_mean= [0.6936655] VC_mean= [0.5278724] d= [0.1]
FAC | warm_start_active=False, vs_mean=217.6721, vl_pi= 0.5865702 beta_penalty= 14597.106 lambda_mean= [0.6936876] VC_mean= [0.5260752] d= [0.1]
FAC | warm_start_active=False, vs_mean=218.4696, vl_pi= 0.5898804 beta_penalty= 14696.412 lambda_mean= [0.6936876] VC_mean= [0.52903134] d= [0.1]
FAC | warm_start_active=False, vs_mean=217.6674, vl_pi= 0.5900187 beta_penalty= 14700.561 lambda_mean= [0.6936876] VC_mean= [0.5296813] d= [0.1]
FAC | warm_start_active=False, vs_mean=219.0150, vl_pi= 0.58547556 beta_penalty= 14564.268 lambda_mean= [0.6936876] VC_mean= [0.5266435] d= [0.1]
FAC | warm_start_active=False, vs_mean=221.4891, vl_pi= 0.58721274 beta_penalty= 14616.383 lambda_mean= [0.6936876] VC_mean= [0.5315613] d= [0.1]
evaluate_num:2 	 evaluate_reward:1197.6110235948443 	 evaluate_cost:211.44158387184143 	 evaluate_max_cost:0.499845027923584
FAC | warm_start_active=False, vs_mean=214.4392, vl_pi= 0.58008903 beta_penalty= 14402.671 lambda_mean= [0.69378877] VC_mean= [0.528224] d= [0.1]
FAC | warm_start_active=False, vs_mean=214.6852, vl_pi= 0.5843965 beta_penalty= 14531.895 lambda_mean= [0.69378877] VC_mean= [0.530738] d= [0.1]
FAC | warm_start_active=False, vs_mean=217.4832, vl_pi= 0.57694244 beta_penalty= 14308.273 lambda_mean= [0.69378877] VC_mean= [0.53015333] d= [0.1]
FAC | warm_start_active=False, vs_mean=214.1624, vl_pi= 0.5819307 beta_penalty= 14457.921 lambda_mean= [0.69378877] VC_mean= [0.5343862] d= [0.1]
FAC | warm_start_active=False, vs_mean=212.6011, vl_pi= 0.581353 beta_penalty= 14440.591 lambda_mean= [0.69378877] VC_mean= [0.5360278] d= [0.1]
