2026-03-09 15:43:11,825 - INFO - Ep 72 | Reward: 7.0 | Cost: 0.52 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.533 | Reward Term: 3.431 | Beta: 1.7029 | Optimized: Reward
2026-03-09 15:43:11,836 - INFO - Ep 73 | Reward: 6.0 | Cost: 0.49 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.542 | Reward Term: 3.442 | Beta: 1.7128 | Optimized: Reward
2026-03-09 15:43:11,852 - INFO - Ep 74 | Reward: 10.0 | Cost: 0.83 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.550 | Reward Term: 5.338 | Beta: 1.7227 | Optimized: Reward
2026-03-09 15:43:11,870 - INFO - Ep 75 | Reward: 12.0 | Cost: 0.57 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.559 | Reward Term: 5.785 | Beta: 1.7326 | Optimized: Reward
2026-03-09 15:43:11,880 - INFO - Ep 76 | Reward: 4.0 | Cost: 0.40 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.568 | Reward Term: 1.980 | Beta: 1.7425 | Optimized: Reward
2026-03-09 15:43:11,892 - INFO - Ep 77 | Reward: 6.0 | Cost: 0.51 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.577 | Reward Term: 2.950 | Beta: 1.7524 | Optimized: Reward
2026-03-09 15:43:11,903 - INFO - Ep 78 | Reward: 6.0 | Cost: 0.37 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.586 | Reward Term: 2.950 | Beta: 1.7623 | Optimized: Reward
2026-03-09 15:43:11,915 - INFO - Ep 79 | Reward: 7.0 | Cost: 0.70 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.595 | Reward Term: 3.431 | Beta: 1.7722 | Optimized: Reward
2026-03-09 15:43:11,937 - INFO - Ep 80 | Reward: 15.0 | Cost: 0.80 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.604 | Reward Term: 7.161 | Beta: 1.7821 | Optimized: Reward
2026-03-09 15:43:11,953 - INFO - Ep 81 | Reward: 9.0 | Cost: 1.16 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.613 | Reward Term: 4.869 | Beta: 1.7920 | Optimized: Reward
2026-03-09 15:43:11,966 - INFO - Ep 82 | Reward: 8.0 | Cost: 0.77 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.622 | Reward Term: 4.397 | Beta: 1.8019 | Optimized: Reward
2026-03-09 15:43:11,985 - INFO - Ep 83 | Reward: 14.0 | Cost: 1.80 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.631 | Reward Term: 7.185 | Beta: 1.8118 | Optimized: Reward
2026-03-09 15:43:11,999 - INFO - Ep 84 | Reward: 7.0 | Cost: 0.57 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.640 | Reward Term: 3.921 | Beta: 1.8217 | Optimized: Reward
2026-03-09 15:43:12,013 - INFO - Ep 85 | Reward: 9.0 | Cost: 1.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.648 | Reward Term: 4.382 | Beta: 1.8316 | Optimized: Reward
2026-03-09 15:43:12,037 - INFO - Ep 86 | Reward: 18.0 | Cost: 1.79 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.657 | Reward Term: 8.983 | Beta: 1.8415 | Optimized: Reward
2026-03-09 15:43:12,071 - INFO - Ep 87 | Reward: 24.0 | Cost: 3.89 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.666 | Reward Term: 11.129 | Beta: 1.8514 | Optimized: Reward
2026-03-09 15:43:12,087 - INFO - Ep 88 | Reward: 6.0 | Cost: 0.43 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.675 | Reward Term: 3.442 | Beta: 1.8613 | Optimized: Reward
