n0071
Sat Sep 19 04:27:15 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 1 env= HumanoidWithCost k_epochs 5
env=HumanoidWithCost
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.070827026811 	 evaluate_cost:0.02382837289769668 	 evaluate_max_cost:9.343180136056617e-05
New best model found! Saving model with reward: 4985.070827026811 and max cost: 9.343180136056617e-05
FAC | warm_start_active=False, vs_mean=470.6324, vl_pi= 2.8402455 beta_penalty= 552073.6 lambda_mean= [0.7046526] VC_mean= [2.5638044] d= [1.]
FAC | warm_start_active=False, vs_mean=471.8130, vl_pi= 2.875566 beta_penalty= 562669.8 lambda_mean= [0.7046526] VC_mean= [2.5719106] d= [1.]
FAC | warm_start_active=False, vs_mean=475.6641, vl_pi= 2.8530264 beta_penalty= 555907.94 lambda_mean= [0.7046526] VC_mean= [2.5490313] d= [1.]
FAC | warm_start_active=False, vs_mean=475.2411, vl_pi= 2.747904 beta_penalty= 524371.2 lambda_mean= [0.7046526] VC_mean= [2.5239177] d= [1.]
FAC | warm_start_active=False, vs_mean=477.1098, vl_pi= 2.7424867 beta_penalty= 522746.0 lambda_mean= [0.7046526] VC_mean= [2.5380592] d= [1.]
FAC | warm_start_active=False, vs_mean=479.2243, vl_pi= 2.8590178 beta_penalty= 557705.4 lambda_mean= [0.70463294] VC_mean= [2.5629456] d= [1.]
FAC | warm_start_active=False, vs_mean=481.9948, vl_pi= 2.8087192 beta_penalty= 542615.75 lambda_mean= [0.70463294] VC_mean= [2.5734022] d= [1.]
FAC | warm_start_active=False, vs_mean=483.7152, vl_pi= 2.7772157 beta_penalty= 533164.7 lambda_mean= [0.70463294] VC_mean= [2.5588315] d= [1.]
FAC | warm_start_active=False, vs_mean=485.4174, vl_pi= 2.7823775 beta_penalty= 534713.25 lambda_mean= [0.70463294] VC_mean= [2.5636687] d= [1.]
FAC | warm_start_active=False, vs_mean=485.2343, vl_pi= 2.704427 beta_penalty= 511328.1 lambda_mean= [0.70463294] VC_mean= [2.5233932] d= [1.]
FAC | warm_start_active=False, vs_mean=483.3026, vl_pi= 2.7630436 beta_penalty= 528913.06 lambda_mean= [0.7050579] VC_mean= [2.5038962] d= [1.]
FAC | warm_start_active=False, vs_mean=483.2026, vl_pi= 2.7809372 beta_penalty= 534281.2 lambda_mean= [0.7050579] VC_mean= [2.5020542] d= [1.]
FAC | warm_start_active=False, vs_mean=482.0356, vl_pi= 2.7509627 beta_penalty= 525288.8 lambda_mean= [0.7050579] VC_mean= [2.5193844] d= [1.]
FAC | warm_start_active=False, vs_mean=484.1115, vl_pi= 2.79023 beta_penalty= 537069.0 lambda_mean= [0.7050579] VC_mean= [2.5179534] d= [1.]
FAC | warm_start_active=False, vs_mean=486.8239, vl_pi= 2.7691982 beta_penalty= 530759.44 lambda_mean= [0.7050579] VC_mean= [2.5449982] d= [1.]
FAC | warm_start_active=False, vs_mean=486.9011, vl_pi= 2.8639352 beta_penalty= 559180.56 lambda_mean= [0.7047237] VC_mean= [2.6065695] d= [1.]
FAC | warm_start_active=False, vs_mean=484.1409, vl_pi= 2.862409 beta_penalty= 558722.75 lambda_mean= [0.7047237] VC_mean= [2.6578884] d= [1.]
FAC | warm_start_active=False, vs_mean=483.6364, vl_pi= 2.8291485 beta_penalty= 548744.56 lambda_mean= [0.7047237] VC_mean= [2.6377065] d= [1.]
FAC | warm_start_active=False, vs_mean=480.6838, vl_pi= 2.8010151 beta_penalty= 540304.56 lambda_mean= [0.7047237] VC_mean= [2.6216621] d= [1.]
FAC | warm_start_active=False, vs_mean=479.6271, vl_pi= 2.829023 beta_penalty= 548706.9 lambda_mean= [0.7047237] VC_mean= [2.645757] d= [1.]
FAC | warm_start_active=False, vs_mean=480.3962, vl_pi= 2.9091613 beta_penalty= 572748.4 lambda_mean= [0.704606] VC_mean= [2.65583] d= [1.]
FAC | warm_start_active=False, vs_mean=477.7534, vl_pi= 2.8710532 beta_penalty= 561315.94 lambda_mean= [0.704606] VC_mean= [2.6713061] d= [1.]
FAC | warm_start_active=False, vs_mean=473.6944, vl_pi= 2.894598 beta_penalty= 568379.4 lambda_mean= [0.704606] VC_mean= [2.6901755] d= [1.]
FAC | warm_start_active=False, vs_mean=474.0821, vl_pi= 2.8588507 beta_penalty= 557655.2 lambda_mean= [0.704606] VC_mean= [2.6569092] d= [1.]
FAC | warm_start_active=False, vs_mean=471.6790, vl_pi= 2.838095 beta_penalty= 551428.5 lambda_mean= [0.704606] VC_mean= [2.6523898] d= [1.]
FAC | warm_start_active=False, vs_mean=469.0359, vl_pi= 2.9171786 beta_penalty= 575153.56 lambda_mean= [0.7046138] VC_mean= [2.6650343] d= [1.]
FAC | warm_start_active=False, vs_mean=470.4818, vl_pi= 2.9175034 beta_penalty= 575251.0 lambda_mean= [0.7046138] VC_mean= [2.652796] d= [1.]
FAC | warm_start_active=False, vs_mean=470.2293, vl_pi= 2.921715 beta_penalty= 576514.5 lambda_mean= [0.7046138] VC_mean= [2.6451287] d= [1.]
FAC | warm_start_active=False, vs_mean=472.2521, vl_pi= 2.8555017 beta_penalty= 556650.5 lambda_mean= [0.7046138] VC_mean= [2.6447732] d= [1.]
