2026-03-09 13:37:02,629 - INFO - Ep 117 | Reward: 7.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 3.921 | Optimized: Cost
2026-03-09 13:37:02,653 - INFO - Ep 118 | Reward: 5.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.467 | Optimized: Cost
2026-03-09 13:37:02,677 - INFO - Ep 119 | Reward: 6.0 | Cost: 0.16 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 13:37:02,701 - INFO - Ep 120 | Reward: 6.0 | Cost: 0.05 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 3.442 | Optimized: Cost
2026-03-09 13:37:02,719 - INFO - Ep 121 | Reward: 4.0 | Cost: 0.15 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 1.980 | Optimized: Cost
2026-03-09 13:37:02,744 - INFO - Ep 122 | Reward: 7.0 | Cost: 0.17 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 3.431 | Optimized: Cost
2026-03-09 13:37:02,768 - INFO - Ep 123 | Reward: 10.0 | Cost: 0.06 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 4.853 | Optimized: Cost
2026-03-09 13:37:02,811 - INFO - Ep 124 | Reward: 9.0 | Cost: 0.44 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 4.382 | Optimized: Cost
2026-03-09 13:37:02,839 - INFO - Ep 125 | Reward: 8.0 | Cost: 0.04 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 4.397 | Optimized: Cost
2026-03-09 13:37:02,865 - INFO - Ep 126 | Reward: 7.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 3.431 | Optimized: Cost
2026-03-09 13:37:02,892 - INFO - Ep 127 | Reward: 8.0 | Cost: 0.02 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 3.908 | Optimized: Cost
2026-03-09 13:37:02,902 - INFO - Ep 128 | Reward: 5.0 | Cost: 0.06 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 90.000 | Reward Term: 2.960 | Optimized: Cost
