n0093
Tue Aug 25 04:39:59 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 5 env= HalfCheetahForwardObstaclePerturbed k_epochs 5
env=HalfCheetahForwardObstaclePerturbed
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:8.480583454798156 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 8.480583454798156 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 84.98812103271484 tensor(5.2583) tensor(151750.0938)
ch, vs_mean, vl_pi, beta penalty= 0 85.28973388671875 tensor(5.3410) tensor(154228.8438)
ch, vs_mean, vl_pi, beta penalty= 0 83.87759399414062 tensor(5.2858) tensor(152574.6094)
ch, vs_mean, vl_pi, beta penalty= 0 82.47236633300781 tensor(5.2281) tensor(150842.5781)
ch, vs_mean, vl_pi, beta penalty= 0 80.14644622802734 tensor(5.1435) tensor(148306.2812)
ch, vs_mean, vl_pi, beta penalty= 0 79.30540466308594 tensor(5.1016) tensor(147049.3594)
ch, vs_mean, vl_pi, beta penalty= 0 78.55638122558594 tensor(3.9906) tensor(113718.8516)
ch, vs_mean, vl_pi, beta penalty= 0 81.42374420166016 tensor(3.9263) tensor(111789.2578)
ch, vs_mean, vl_pi, beta penalty= 0 82.46417236328125 tensor(3.8729) tensor(110188.0703)
ch, vs_mean, vl_pi, beta penalty= 0 84.14054107666016 tensor(3.8350) tensor(109051.3438)
ch, vs_mean, vl_pi, beta penalty= 0 86.31192016601562 tensor(3.7451) tensor(106353.5703)
ch, vs_mean, vl_pi, beta penalty= 0 84.79710388183594 tensor(3.1124) tensor(87371.2188)
ch, vs_mean, vl_pi, beta penalty= 0 85.3647232055664 tensor(3.0869) tensor(86607.6719)
ch, vs_mean, vl_pi, beta penalty= 0 85.4197769165039 tensor(3.1398) tensor(88195.3047)
ch, vs_mean, vl_pi, beta penalty= 0 85.8309555053711 tensor(3.1410) tensor(88230.1016)
ch, vs_mean, vl_pi, beta penalty= 0 85.65478515625 tensor(3.1412) tensor(88237.4688)
ch, vs_mean, vl_pi, beta penalty= 0 86.2103500366211 tensor(1.7155) tensor(45466.2578)
ch, vs_mean, vl_pi, beta penalty= 0 85.04884338378906 tensor(1.8046) tensor(48137.2812)
ch, vs_mean, vl_pi, beta penalty= 0 84.97151947021484 tensor(1.8993) tensor(50979.3711)
ch, vs_mean, vl_pi, beta penalty= 0 84.85855102539062 tensor(1.9165) tensor(51496.1016)
ch, vs_mean, vl_pi, beta penalty= 0 84.9726333618164 tensor(1.9265) tensor(51796.3086)
ch, vs_mean, vl_pi, beta penalty= 0 85.13789367675781 tensor(4.2890) tensor(122668.5781)
ch, vs_mean, vl_pi, beta penalty= 0 85.10991668701172 tensor(4.2564) tensor(121691.2188)
ch, vs_mean, vl_pi, beta penalty= 0 85.48173522949219 tensor(4.1644) tensor(118932.8203)
ch, vs_mean, vl_pi, beta penalty= 0 85.75120544433594 tensor(4.1261) tensor(117782.8125)
ch, vs_mean, vl_pi, beta penalty= 0 86.52731323242188 tensor(4.0411) tensor(115232.2734)
ch, vs_mean, vl_pi, beta penalty= 0 86.12811279296875 tensor(2.1580) tensor(58739.8750)
ch, vs_mean, vl_pi, beta penalty= 0 85.78987884521484 tensor(2.1837) tensor(59511.8594)
ch, vs_mean, vl_pi, beta penalty= 0 86.1668701171875 tensor(2.2005) tensor(60015.9844)
ch, vs_mean, vl_pi, beta penalty= 0 87.3265609741211 tensor(2.1833) tensor(59500.3008)
ch, vs_mean, vl_pi, beta penalty= 0 88.61114501953125 tensor(2.2138) tensor(60413.2266)
ch, vs_mean, vl_pi, beta penalty= 0 90.75521850585938 tensor(0.8933) tensor(20798.5234)
ch, vs_mean, vl_pi, beta penalty= 0 89.87713623046875 tensor(0.8884) tensor(20653.2988)
ch, vs_mean, vl_pi, beta penalty= 0 89.70840454101562 tensor(0.8827) tensor(20481.6699)
ch, vs_mean, vl_pi, beta penalty= 0 89.0574722290039 tensor(0.8791) tensor(20372.9082)
ch, vs_mean, vl_pi, beta penalty= 0 87.9903564453125 tensor(0.8750) tensor(20250.4746)
ch, vs_mean, vl_pi, beta penalty= 0 89.51826477050781 tensor(3.0700) tensor(86099.9141)
ch, vs_mean, vl_pi, beta penalty= 0 89.27291870117188 tensor(3.0461) tensor(85383.5625)
ch, vs_mean, vl_pi, beta penalty= 0 88.87385559082031 tensor(2.9873) tensor(83618.4062)
ch, vs_mean, vl_pi, beta penalty= 0 88.0985107421875 tensor(2.9470) tensor(82409.0547)
ch, vs_mean, vl_pi, beta penalty= 0 88.19638061523438 tensor(2.9427) tensor(82281.3359)
ch, vs_mean, vl_pi, beta penalty= 0 88.01190185546875 tensor(1.4651) tensor(37952.2773)
ch, vs_mean, vl_pi, beta penalty= 0 87.62591552734375 tensor(1.4616) tensor(37849.0938)
ch, vs_mean, vl_pi, beta penalty= 0 87.9290771484375 tensor(1.4513) tensor(37538.6094)
ch, vs_mean, vl_pi, beta penalty= 0 87.68482971191406 tensor(1.4407) tensor(37221.7734)
ch, vs_mean, vl_pi, beta penalty= 0 88.19598388671875 tensor(1.4295) tensor(36886.4922)
ch, vs_mean, vl_pi, beta penalty= 0 89.73932647705078 tensor(2.0387) tensor(55160.5664)
ch, vs_mean, vl_pi, beta penalty= 0 89.72190856933594 tensor(2.0463) tensor(55389.7266)
