n0050
Sun Sep 20 10:22:59 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 6 env= HumanoidWithCost
env=HumanoidWithCost
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
lambda=0.00000, eps=1.00000, pred_cost=178.27560, p_value=0.99992, constraint_value=0.00966, constraint_violation=-0.99034
lambda=0.00000, eps=1.00000, pred_cost=180.20532, p_value=0.99993, constraint_value=0.00906, constraint_violation=-0.99094
lambda=0.00000, eps=1.00000, pred_cost=180.76642, p_value=0.99993, constraint_value=0.00810, constraint_violation=-0.99190
lambda=0.00000, eps=1.00000, pred_cost=181.77391, p_value=0.99994, constraint_value=0.00764, constraint_violation=-0.99236
lambda=0.00000, eps=1.00000, pred_cost=176.91510, p_value=0.99992, constraint_value=0.00988, constraint_violation=-0.99012
lambda=0.00000, eps=1.00000, pred_cost=176.20477, p_value=0.99993, constraint_value=0.00919, constraint_violation=-0.99081
lambda=0.00000, eps=1.00000, pred_cost=176.26938, p_value=0.99991, constraint_value=0.01064, constraint_violation=-0.98936
lambda=0.00000, eps=1.00000, pred_cost=176.04007, p_value=0.99993, constraint_value=0.00815, constraint_violation=-0.99185
lambda=0.00000, eps=1.00000, pred_cost=175.63794, p_value=0.99993, constraint_value=0.00910, constraint_violation=-0.99090
lambda=0.00000, eps=1.00000, pred_cost=175.93221, p_value=0.99993, constraint_value=0.00847, constraint_violation=-0.99153
lambda=0.00000, eps=1.00000, pred_cost=177.94034, p_value=0.99994, constraint_value=0.00762, constraint_violation=-0.99238
lambda=0.00000, eps=1.00000, pred_cost=176.27783, p_value=0.99993, constraint_value=0.00844, constraint_violation=-0.99156
lambda=0.00000, eps=1.00000, pred_cost=179.09288, p_value=0.99994, constraint_value=0.00771, constraint_violation=-0.99229
lambda=0.00000, eps=1.00000, pred_cost=178.61757, p_value=0.99993, constraint_value=0.00808, constraint_violation=-0.99192
evaluate_num:5 	 evaluate_reward:4882.176236070901 	 evaluate_cost:1360.606791859027 	 evaluate_max_cost:2.7200002670288086
lambda=0.00000, eps=1.00000, pred_cost=181.43878, p_value=0.99994, constraint_value=0.00802, constraint_violation=-0.99198
lambda=0.00000, eps=1.00000, pred_cost=178.37079, p_value=0.99994, constraint_value=0.00783, constraint_violation=-0.99217
lambda=0.00000, eps=1.00000, pred_cost=175.18085, p_value=0.99993, constraint_value=0.00859, constraint_violation=-0.99141
lambda=0.00000, eps=1.00000, pred_cost=177.27379, p_value=0.99994, constraint_value=0.00727, constraint_violation=-0.99273
lambda=0.00000, eps=1.00000, pred_cost=174.92838, p_value=0.99994, constraint_value=0.00724, constraint_violation=-0.99276
lambda=0.00000, eps=1.00000, pred_cost=176.20789, p_value=0.99993, constraint_value=0.00843, constraint_violation=-0.99158
lambda=0.00000, eps=1.00000, pred_cost=176.95685, p_value=0.99991, constraint_value=0.01139, constraint_violation=-0.98861
lambda=0.00000, eps=1.00000, pred_cost=174.30490, p_value=0.99993, constraint_value=0.00897, constraint_violation=-0.99103
lambda=0.00000, eps=1.00000, pred_cost=175.39825, p_value=0.99994, constraint_value=0.00686, constraint_violation=-0.99314
lambda=0.00000, eps=1.00000, pred_cost=176.44939, p_value=0.99994, constraint_value=0.00777, constraint_violation=-0.99223
lambda=0.00000, eps=1.00000, pred_cost=173.55354, p_value=0.99993, constraint_value=0.00885, constraint_violation=-0.99115
lambda=0.00000, eps=1.00000, pred_cost=172.27965, p_value=0.99993, constraint_value=0.00901, constraint_violation=-0.99099
lambda=0.00000, eps=1.00000, pred_cost=172.73900, p_value=0.99992, constraint_value=0.00972, constraint_violation=-0.99028
lambda=0.00000, eps=1.00000, pred_cost=173.13918, p_value=0.99992, constraint_value=0.01032, constraint_violation=-0.98968
lambda=0.00000, eps=1.00000, pred_cost=173.12703, p_value=0.99994, constraint_value=0.00766, constraint_violation=-0.99234
