n0093
Tue Aug 25 05:25:03 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 3 seed= 3 env= HalfCheetahForwardObstaclePerturbed k_epochs 5
env=HalfCheetahForwardObstaclePerturbed
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:8.489046217548397 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 8.489046217548397 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 82.11890411376953 tensor(3.0070) tensor(84210.5938)
ch, vs_mean, vl_pi, beta penalty= 0 82.08946228027344 tensor(3.0022) tensor(84066.6641)
ch, vs_mean, vl_pi, beta penalty= 0 82.55447387695312 tensor(2.9570) tensor(82709.0859)
ch, vs_mean, vl_pi, beta penalty= 0 83.52131652832031 tensor(2.9517) tensor(82551.7656)
ch, vs_mean, vl_pi, beta penalty= 0 83.77588653564453 tensor(2.9419) tensor(82256.4844)
ch, vs_mean, vl_pi, beta penalty= 0 84.3128890991211 tensor(1.9370) tensor(52108.8711)
ch, vs_mean, vl_pi, beta penalty= 0 84.64032745361328 tensor(2.0511) tensor(55533.8359)
ch, vs_mean, vl_pi, beta penalty= 0 83.86670684814453 tensor(2.1496) tensor(58489.1797)
ch, vs_mean, vl_pi, beta penalty= 0 83.81303405761719 tensor(2.1877) tensor(59632.1172)
ch, vs_mean, vl_pi, beta penalty= 0 83.54447174072266 tensor(2.2042) tensor(60125.2109)
ch, vs_mean, vl_pi, beta penalty= 0 80.9825210571289 tensor(0.8677) tensor(20030.8613)
ch, vs_mean, vl_pi, beta penalty= 0 82.63931274414062 tensor(0.8341) tensor(19023.9922)
ch, vs_mean, vl_pi, beta penalty= 0 83.99683380126953 tensor(0.8175) tensor(18525.0645)
ch, vs_mean, vl_pi, beta penalty= 0 83.92285919189453 tensor(0.7937) tensor(17811.4453)
ch, vs_mean, vl_pi, beta penalty= 0 84.93598175048828 tensor(0.7886) tensor(17657.4336)
ch, vs_mean, vl_pi, beta penalty= 0 72.91793060302734 tensor(5.5770) tensor(161310.8906)
ch, vs_mean, vl_pi, beta penalty= 0 72.85022735595703 tensor(5.5757) tensor(161271.3281)
ch, vs_mean, vl_pi, beta penalty= 0 72.94766235351562 tensor(5.6873) tensor(164618.2500)
