n0008
Sun Mar 29 03:18:18 PM EDT 2026
/home/sm3934/miniconda3/envs/ipm_rcrl_env/bin/python
run= 1 seed= 1 env= CartPolePerturbedEnv
env=CartPolePerturbedEnv
state_dim=4
action_dim=1
max_action=10.0
max_episode_steps=1000
No env selected
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:32.0 	 evaluate_cost:3.6481188041446906 	 evaluate_max_cost:1.1946760078028644
evaluate_num:16 	 evaluate_reward:137.66666666666666 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 87.52327728271484 47.12092208862305 1169.7730522155762
ch, vs_mean, vl_pi, beta penalty= 1 87.8638687133789 45.92863845825195 1139.9659614562988
ch, vs_mean, vl_pi, beta penalty= 1 87.5582504272461 46.55659484863281 1155.6648712158203
ch, vs_mean, vl_pi, beta penalty= 1 87.61731719970703 52.433101654052734 1302.5775413513184
ch, vs_mean, vl_pi, beta penalty= 1 87.36570739746094 46.330772399902344 1150.0193099975586
ch, vs_mean, vl_pi, beta penalty= 1 87.69682312011719 52.561439514160156 1305.785987854004
evaluate_num:17 	 evaluate_reward:126.33333333333333 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 87.67400360107422 52.79521179199219 1311.6302947998047
ch, vs_mean, vl_pi, beta penalty= 1 87.17560577392578 45.507205963134766 1129.4301490783691
ch, vs_mean, vl_pi, beta penalty= 1 87.74942016601562 42.81367111206055 1062.0917778015137
ch, vs_mean, vl_pi, beta penalty= 1 86.94597625732422 46.20222473144531 1146.8056182861328
ch, vs_mean, vl_pi, beta penalty= 1 87.03849029541016 44.86164855957031 1113.2912139892578
ch, vs_mean, vl_pi, beta penalty= 1 87.17807006835938 43.005062103271484 1066.876552581787
ch, vs_mean, vl_pi, beta penalty= 1 86.92623138427734 40.737239837646484 1010.1809959411621
evaluate_num:18 	 evaluate_reward:126.33333333333333 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 86.80357360839844 45.199867248535156 1121.746681213379
ch, vs_mean, vl_pi, beta penalty= 1 86.8331527709961 40.75784683227539 1010.6961708068848
ch, vs_mean, vl_pi, beta penalty= 1 86.0747299194336 44.411075592041016 1102.0268898010254
ch, vs_mean, vl_pi, beta penalty= 1 87.0576400756836 42.60695266723633 1056.9238166809082
ch, vs_mean, vl_pi, beta penalty= 1 86.43268585205078 43.086097717285156 1068.902442932129
ch, vs_mean, vl_pi, beta penalty= 1 85.9698257446289 41.91636276245117 1039.6590690612793
evaluate_num:19 	 evaluate_reward:120.66666666666667 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 85.91163635253906 40.167457580566406 995.9364395141602
ch, vs_mean, vl_pi, beta penalty= 1 85.98343658447266 39.59523391723633 981.6308479309082
ch, vs_mean, vl_pi, beta penalty= 1 85.75580596923828 39.991432189941406 991.5358047485352
ch, vs_mean, vl_pi, beta penalty= 1 85.79019165039062 37.64739990234375 932.9349975585938
ch, vs_mean, vl_pi, beta penalty= 1 85.39385986328125 36.327674865722656 899.9418716430664
ch, vs_mean, vl_pi, beta penalty= 1 85.20641326904297 36.80223083496094 911.8057708740234
evaluate_num:20 	 evaluate_reward:121.66666666666667 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 85.26881408691406 37.996158599853516 941.6539649963379
ch, vs_mean, vl_pi, beta penalty= 1 85.71522521972656 36.93655776977539 915.1639442443848
ch, vs_mean, vl_pi, beta penalty= 1 85.33998107910156 36.95302200317383 915.5755500793457
ch, vs_mean, vl_pi, beta penalty= 1 85.68605041503906 38.65640640258789 958.1601600646973
ch, vs_mean, vl_pi, beta penalty= 1 85.20307159423828 37.687862396240234 933.9465599060059
ch, vs_mean, vl_pi, beta penalty= 1 85.27393341064453 36.74729537963867 910.4323844909668
evaluate_num:21 	 evaluate_reward:115.66666666666667 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
ch, vs_mean, vl_pi, beta penalty= 1 84.8674545288086 35.45109176635742 878.0272941589355
ch, vs_mean, vl_pi, beta penalty= 1 85.0762939453125 35.889198303222656 888.9799575805664
