n0006
Sat Sep 19 04:45:51 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 1 env= SwimmerWithPos k_epochs 5
env=SwimmerWithPos
state_dim=10
action_dim=2
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:9.715869188129492 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 9.715869188129492 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=160.1133, vl_pi= 0.7612299 beta_penalty= 19836.895 lambda_mean= [0.69418234] VC_mean= [0.5678866] d= [0.1]
FAC | warm_start_active=False, vs_mean=155.1311, vl_pi= 0.75226104 beta_penalty= 19567.83 lambda_mean= [0.69418234] VC_mean= [0.57135713] d= [0.1]
FAC | warm_start_active=False, vs_mean=151.8855, vl_pi= 0.72198963 beta_penalty= 18659.688 lambda_mean= [0.69418234] VC_mean= [0.57076234] d= [0.1]
FAC | warm_start_active=False, vs_mean=151.0106, vl_pi= 0.6857931 beta_penalty= 17573.793 lambda_mean= [0.6942359] VC_mean= [0.5682271] d= [0.1]
FAC | warm_start_active=False, vs_mean=151.6325, vl_pi= 0.685517 beta_penalty= 17565.51 lambda_mean= [0.6942359] VC_mean= [0.5708973] d= [0.1]
FAC | warm_start_active=False, vs_mean=152.0775, vl_pi= 0.6793822 beta_penalty= 17381.465 lambda_mean= [0.6942359] VC_mean= [0.56727207] d= [0.1]
FAC | warm_start_active=False, vs_mean=153.4587, vl_pi= 0.67026836 beta_penalty= 17108.05 lambda_mean= [0.6942359] VC_mean= [0.56885105] d= [0.1]
FAC | warm_start_active=False, vs_mean=154.0544, vl_pi= 0.65665275 beta_penalty= 16699.582 lambda_mean= [0.6942359] VC_mean= [0.55893624] d= [0.1]
FAC | warm_start_active=False, vs_mean=159.2180, vl_pi= 0.6474388 beta_penalty= 16423.164 lambda_mean= [0.694126] VC_mean= [0.5499068] d= [0.1]
FAC | warm_start_active=False, vs_mean=155.7135, vl_pi= 0.6415233 beta_penalty= 16245.698 lambda_mean= [0.694126] VC_mean= [0.5488274] d= [0.1]
FAC | warm_start_active=False, vs_mean=154.8539, vl_pi= 0.63774645 beta_penalty= 16132.393 lambda_mean= [0.694126] VC_mean= [0.54721385] d= [0.1]
FAC | warm_start_active=False, vs_mean=151.9515, vl_pi= 0.6358632 beta_penalty= 16075.895 lambda_mean= [0.694126] VC_mean= [0.5506953] d= [0.1]
